describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码, Kaynak mevcut değil
操作不支持,5002,家园错误码, Desteklenmeyen işlem
家园道具扣除异常,5003,家园错误码, Ev eşyası kesintisi anormal
捕捉动物请求异常,6001,畜牧错误码, Hayvanları yakalama istisnası
捕捉动物无效,6002,畜牧错误码, Hayvanları yakalama geçersiz
,2010000,, Boş
,10001001,通用, Tamam
,10001002,通用, İptal
,10001003,通用, Onayla
,10001004,通用, Kapat
,10001005,通用, Bağlanıyor 
,10001006,通用," Hizmet meşgul, lütfen sabırla bekleyin"
,10001007,通用," Cüzdan bağlantısı kesildi, lütfen uygulamayı yeniden başlatın"
,10001008,通用, Sistem uyarısı
,10001009,通用, Uygulama sürümü güncellendi. Lütfen uygulamayı yeniden başlatın
,10001010,通用, Oyun başlıyor
,10001011,通用, Elde edilen {0}
,10001012,通用, Eksik eşya.
,10001013,通用, Varlıklarınız pvp alanında satılamaz.
,10001014,通用, Dilek Havuzu
,10001015,通用, Savaş Dileği Ağacı
,10001016,通用, Dilek Ağacı Topla
,10001017,通用, Çiftlik Dilek Ağacı
,10004021,装备属性-生命上限,MaxHP
,10004022,装备属性-生命恢复, HP İyileşmesi
,10004023,装备属性-攻击点数, Saldırı Puanları
,10004024,装备属性-攻击速度, Saldırı Hızı
,10004025,装备属性-防御点数, Savunma Puanları
,10004026,装备属性-暴击点数, Eleştiri Puanı
,10004027,装备属性-暴击伤害, Eleştiri Hasarı
,10004028,装备属性-命中点数, İsabet Puanları
,10004029,装备属性-闪避点数, Kaçış Puanları
,10004030,装备属性-移动速度, Hareket Hızı
,10022007,画板, Lumiterra
,10027010,机器人, LV.{0}
,10060001,UI tips EXP," EXP elde etmenin yolları arasında canavar öldürmek, görevleri tamamlamak vb. bulunur.Her bir av görevi turunu tamamladığınızda çok fazla EXP elde edebilirsiniz."
,10060002,UI tips token, LNCO'yu eğri veya kripto borsalardan alabilirsiniz.Ayrıca LNCO'yu oyun eşyalarını pazar yerinde satış yaparak da alabilirsiniz.
,10060003,UI tips Proficiency," Silah gücü, ekipman gücü ve iksir yapımı, ilgili zanaat becerisinin ustalığını artırır.Eşyanın zanaat seviyesi ne kadar yüksekse, artan ustalık o kadar fazla olur."
,10070001,通用提示文案-外观穿戴1, Görünümü giymeden önce ekipmanı giymeniz gerekir.
,10070002,通用提示文案-外观穿戴2, Yalnızca mevcut ekipmanın türüyle aynı türdeki görünümler giyilebilir.
,10080013,大世界钱包地址复制提示, Cüzdan adresi kopyalandı
,10080014,大世界NFT物件拆除确认提示, Lütfen kaldırma işlemini onaylayın
,10080015,大世界NFT物件拆除不返还提示, Ditamin geri dönmeyecek
,10080016,聊天窗文本复制提示, Metin kopyalandı
,10080017,大世界放弃领地弹窗," Bu araziyi ({0}, {1}) terk etmek istediğinizden emin misiniz?"
,10080018,大世界24小时预计奖励tips, Tahmini 24 saat kazanç: {0} Ditamin
,10080019,大世界超出占地限制tips, Ödül sınırı: {0} İşgal Edilmiş Arazi
,10080020,聊天禁言提示, Yasaklandınız ve yasağın kaldırılana kadar sohbet edemeyeceksiniz
,10080021,创建地图达到上限提示, Maksimum harita oluşturma limiti {0}'dir.
,10080022,销毁道具提示, {0} * {1} yok etmek istiyor musunuz? Yok edildikten sonra geri getirilemez!
,10080023,销毁道具成功提示, Başarıyla yok edildi!
,10081001,实体地图操作界面," Harita zaten çalışıyor ve bu çalışan haritanın son portalı. Mevcut portal ayarlarını değiştirmek, canlı haritalardaki oyuncuların oyun deneyimini bozacaktır. Lütfen onaylayın."
,10081002,实体地图操作界面, Harita bir bulut sunucusunda çalışıyor ve mevcut hizmet oranı şudur:0Ditamin/saat.
,10081003,实体地图操作界面," Harita zaten çalışıyor ve bu çalışan haritanın son portalı. Mevcut portal ayarlarını değiştirmek, canlı haritalardaki oyuncuların oyun deneyimini bozacaktır. Lütfen onaylayın."
,10081004,实体地图操作界面," Harita zaten çalışıyor. Harita verilerini güncellemek, canlı haritalardaki oyuncuların oyun deneyimini bozacaktır. Lütfen onaylayın."
,10081005,实体地图操作界面," Harita zaten çalışıyor. Haritayı kapatmak, canlı haritalardaki oyuncuların oyun deneyimini bozacaktır. Lütfen onaylayın."
,10082001,功能提示, Metni sese dönüştürme işlevi geçici olarak kullanılamıyor
,10089001,打地鼠, Köstebek Vurma
,10089002,记数字和符号, Karakter Hafızası
,10089003,打气球, Balon Patlatma
,10089004,裁剪艺术, Eksik Parça
,10089005,旋转剪影, Dönen Siluet
,10089006,数方块, Blokların Hesaplanması
,10089007,调整时钟, Saat Ayarı
,10089008,鸟笼洗牌, Kafes Kuşu Karıştırma
,10089009,敲积木求和, Blokların Çatlaması
,10089010,卡片记忆, Kart Hafızası
,10089011,逆转记忆, Ters Hafıza
,10089012,PVP邀请链接复制提示, Davet bağlantısı kopyalandı
,10089013,PVP PK房间准备超时提示, PK odası zaman aşımı
,10089014,PVP主动认输, Oyundan vazgeçmek mi?
,10089015,装备插槽升级提示, Ekipman yuvası seviyesi yükseldi!
,10089016,装备插槽等级不足提示, Yuva seviyesi yeterli değil
,10090001,打地鼠小游戏提示1,Aynı resme tıklayın!
,10090002,快闪记忆提示1, Sayıları ve işaretleri hatırlayın!
,10090003,快闪记忆提示2, {0} rakam
,10090004,顺序气球提示, Balonları küçükten büyüğe doğru sayılarla yok edin!
,10090005,积木计算提示, Blokların sayısı nedir?
,10090006,旋转剪影提示, Hangisi siluetle aynı?
,10090007,剪裁艺术提示, Hangi resim en iyi uyar?
,10090008,调整时钟quiz提示, Saati ayarlayın!
,10090009,拾取非归属于自己的道具提醒," Alınamaz, size ait değil"
,10090010,回复%血量, %{0} hp iyileştirin
,10090011,重复使用配方提醒, Bu tarifi zaten öğrendiniz.
,10090012,鸟笼洗牌提示, Tavuklar nerede?
,10090013,, Gereksiz tuğlaları vurun!
,10090014,逆向记忆提示, Tersine tekrarlayın!
