canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,maxDifficulty-int,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],seedMaxLimit-int[],chapterIds-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,0,빈 공간,"5000,5000,5000,5000,5000,5000,5000,5000,5000,5000",0,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,빈 공간,, 빈칸,,,,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,0, 빈 공간,,0,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,, 빈 공간,, 빈칸,,,,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,0, 빈 공간,,0,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,," PVEP 훈련장 - 12-24명의 플레이어 전투를 지원하며, 사망 시 아무런 드롭이 없으며, 매일 미션에서 티켓을 얻을 수 있습니다.",, 빈칸,,,,,,,
0,160,20000,1,"0,3",DungeonSceneLoading_1_3.jpg,5, 꽃봉우리,,100,0,3,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,60,120","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3"," 정글의 푸른 잎사귀 사이에 자리 잡고 있는 것은 마치 땅 위의 기적과 같습니다. 그 바위 봉우리는 날카로운 검날들의 한 줄 같지만, 동시에 꽃잎과도 닮아 있습니다.",185," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0;0,"0,1440","468,1",,,,
0,40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,5, 부유하는 영역,,160,0,3,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,960","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3"," 그 파괴된 영역에서 어둠의 요새가 자랑스럽게 서 있습니다. 그 가장자리는 공허 속에서 떠다니며 어떠한 물리적 지지도 없이 서 있습니다. 그 안에는 많은 위험한 몬스터들이 가득하며, 이전에 본 적이 없는 많은 희귀한 수집품들이 자라고 있습니다.",186," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0;0,"0,1440","467,1",,,,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,5, 고대 영역,,640,0,3,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3"," 불타는 생물과의 전투; 어둠과 기이한 환경에서 싸워, 공허한 존재들의 공격으로부터 방어하며, 깊은 곳에 숨겨진 비밀과 보물을 발굴하기 위해 고대 유적지로 들어가십시오. 용감한 모험가 여러분, 이 도전에 맞설 준비가 되었습니까?",187," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0;0,"0,1440","658,1",,,,
1,0,21001,0,"1,3",DungeonSceneLoading_7_9.jpg,0, 초급 아레나,,0,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," 보상
- 몬스터 처치 또는 수집: 플레이어들은 토템에 투자된 토큰 보상을 받게 됩니다.
- 다른 플레이어 제거: 플레이어들은 패배한 상대방의 미정산된 LUASUD 보상을 요구할 수 있습니다.
- 보스 처치: 플레이어들은 게임 진행에 필수적인 신비한 특수 재료를 획득할 수 있습니다.
규칙 개요
- 레벨 구조: 던전은 3개의 혼돈스러운 레벨로 구성되어 있으며, 각각이 고유한 도전 과제를 제시합니다.
- 안전 지대: 레벨 내에는 시간이 지남에 따라 줄어들며, 플레이어들을 대결로 이끌게 됩니다.
- 세 가지 종류의 문:
 - 도전 문: 용감한 이들을 위한 이 문은 다음 레벨의 모험으로 이끕니다.
 - 탈출 문: 던전을 탈출하고 미정산된 토큰 보상을 포기합니다.
 - 정착 문: 일정 비율로 정착하여 토큰 보상을 수령합니다.",," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"0,0","659,1","8,24",,,
1,0,21002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, 중급 아레나,,0,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," 보상
- 몬스터 처치 또는 수집: 플레이어들은 토템에 투자된 토큰 보상을 받게 됩니다.
- 다른 플레이어 제거: 플레이어들은 패배한 상대방의 미정산된 LUASUD 보상을 요구할 수 있습니다.
- 보스 처치: 플레이어들은 게임 진행에 필수적인 신비한 특수 재료를 획득할 수 있습니다.
규칙 개요
- 레벨 구조: 던전은 3개의 혼돈스러운 레벨로 구성되어 있으며, 각각이 고유한 도전 과제를 제시합니다.
- 안전 지대: 레벨 내에는 시간이 지남에 따라 줄어들며, 플레이어들을 대결로 이끌게 됩니다.
- 세 가지 종류의 문:
 - 도전 문: 용감한 이들을 위한 이 문은 다음 레벨의 모험으로 이끕니다.
 - 탈출 문: 던전을 탈출하고 미정산된 토큰 보상을 포기합니다.
 - 정착 문: 일정 비율로 정착하여 토큰 보상을 수령합니다.",," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"0,0","660,1","8,24",,,
1,0,21003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, 고급 아레나,,0,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," 보상
- 몬스터 처치 또는 수집: 플레이어들은 토템에 투자된 토큰 보상을 받게 됩니다.
- 다른 플레이어 제거: 플레이어들은 패배한 상대방의 미정산된 LUASUD 보상을 요구할 수 있습니다.
- 보스 처치: 플레이어들은 게임 진행에 필수적인 신비한 특수 재료를 획득할 수 있습니다.
규칙 개요
- 레벨 구조: 던전은 3개의 혼돈스러운 레벨로 구성되어 있으며, 각각이 고유한 도전 과제를 제시합니다.
- 안전 지대: 레벨 내에는 시간이 지남에 따라 줄어들며, 플레이어들을 대결로 이끌게 됩니다.
- 세 가지 종류의 문:
 - 도전 문: 용감한 이들을 위한 이 문은 다음 레벨의 모험으로 이끕니다.
 - 탈출 문: 던전을 탈출하고 미정산된 토큰 보상을 포기합니다.
 - 정착 문: 일정 비율로 정착하여 토큰 보상을 수령합니다.",," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"0,0","661,1","8,24",,,
1,0,22001,0,"1,3",DungeonSceneLoading_7_9.jpg,0, 초급 솔로 아레나,,0,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging"," 보상
- 몬스터 처치 또는 수집: 플레이어들은 토템에 투자된 토큰 보상을 받게 됩니다.
- 다른 플레이어 제거: 플레이어들은 패배한 상대방의 미정산된 LUASUD 보상을 요구할 수 있습니다.
- 보스 처치: 플레이어들은 게임 진행에 필수적인 신비한 특수 재료를 획득할 수 있습니다.
규칙 개요
- 레벨 구조: 던전은 3개의 혼돈스러운 레벨로 구성되어 있으며, 각각이 고유한 도전 과제를 제시합니다.
- 안전 지대: 레벨 내에는 시간이 지남에 따라 줄어들며, 플레이어들을 대결로 이끌게 됩니다.
- 세 가지 종류의 문:
 - 도전 문: 용감한 이들을 위한 이 문은 다음 레벨의 모험으로 이끕니다.
 - 탈출 문: 던전을 탈출하고 미정산된 토큰 보상을 포기합니다.
 - 정착 문: 일정 비율로 정착하여 토큰 보상을 수령합니다.",," 죽을 때, 배낭에 아이템을 떨어뜨릴 수 있는 기회가 있습니다.",0;0,"0,0","659,1","3,24",,,
